Municipality,Park Name,Park Size (ha),Number of iNaturalist Observations,Number of iNaturalist Users,Predicted Richness,Human Utility Attribute Index
Fort Lauderdale,Tranquility Park,0.1,0,0,110.34,0
Fort Lauderdale,Twin Lakes North Park,0.12,0,0,113.32,0.43
Fort Lauderdale,Virginia Shuman Young Elementary Park,1.34,0,0,141.76,0.43
Fort Lauderdale,Virginia Young Park,0.34,0,0,159.85,0.29
Fort Lauderdale,Vista Park,0.26,0,0,115,0.29
Fort Lauderdale,Walker Park (Walker Elementary School),1.16,0,0,130.58,0.43
Fort Lauderdale,Warfield Park,1.49,0,0,126.91,0.43
Fort Lauderdale,Waverly Property,1.12,0,0,170.88,0.14
Fort Lauderdale,Welcome Park,0.83,0,0,112.89,0
Fort Lauderdale,Westwood Heights Triangle Park (Westwood Heights Elementary School),0.16,0,0,142.79,0
Fort Lauderdale,Willingham Park,0.26,0,0,114.97,0
Hallandale Beach,B.F. James Park and Pool,0.9,0,0,140.02,0.57
Hallandale Beach,Curci House-Historical Village,0.16,0,0,161.52,0
Hallandale Beach,Golden Isles Park,7.76,0,0,141.33,0.71
Hallandale Beach,Gulfstream Academy (HACC) Athletic Fields,8.3,0,0,128.1,0.29
Hallandale Beach,Joseph Scavo Park,2.92,0,0,186.44,0.86
Hallandale Beach,OB Johnson Park,2.85,0,0,139.88,0.71
Hallandale Beach,Sunrise Park,1.14,0,0,138.78,0.57
Hallandale Beach,Sunset Park,0.23,0,0,141.98,0.43
Hollywood,Anniversary Park,0.11,0,0,113.17,0.29
Hollywood,Bicentennial Park,1.6,0,0,171.24,0.57
Hollywood,Carlton Montayne Park,0.48,0,0,163.68,0.43
Hollywood,Cathy & Bob Anderson Park,0.3,0,0,125.98,0.43
Hollywood,Earl Crofford Park,0.78,0,0,164,0.14
Hollywood,Eppelman Park,0.15,0,0,114.39,0.29
Hollywood,Fletcher Street Park,0.1,0,0,114.89,0.14
Hollywood,Harry Berry Park,0.22,0,0,118.03,0.43
Hollywood,Henry L. Graham Park,0.2,0,0,140.75,0.14
Hollywood,Hollywood West Skate Park,4.59,0,0,160.86,0.29
Hollywood,Jefferson Park,1.89,0,0,141.86,0.43
Hollywood,John B. Kooser Memorial Park & Exercise Trail,0.48,0,0,174.82,0.14
Hollywood,Keating Park,0.14,0,0,111.38,0.43
Hollywood,Kiwanis Park,0.5,0,0,145.23,0.43
Hollywood,Lincoln Park,1.83,0,0,145,0.57
Hollywood,Mara Berman Giulianti Park in Emerald Hills,0.93,0,0,141.92,0.43
Hollywood,Montella Park,0.85,0,0,174.82,0.29
Hollywood,Poinciana Park & Poinciana Dog Park,1.05,0,0,157.8,0.71
Hollywood,Rainbow Tot Lot,0.04,0,0,161.33,0.14
Hollywood,Rotary Park,7.11,0,0,165.35,0.71
Hollywood,Sailor's Point,0.8,0,0,181.13,0.29
Hollywood,Sal Oliveri Veterans Park,0.49,0,0,135.56,0.43
Hollywood,Seminole Park,0.93,0,0,166.67,0.43
Hollywood,Water View Park,0.34,0,0,167.11,0.14
Lauderdale Lakes,Cypress Preserve Conservation Park,3.13,0,0,156.53,0.43
Lauderdale Lakes,Northgate Neighborhood Park,1.36,0,0,114.5,0.57
Lauderdale Lakes,Otis Grey Neighborhood Park,NA,0,0,161.6,0.43
Lauderdale Lakes,Vincent Torres Memorial Park,3.99,0,0,147.5,0.43
Lauderdale Lakes,"Willie L. Webb, Sr. Park",3.55,0,0,151.34,0.43
Lauderdale by the Sea,El Prado Park,0.24,0,0,109.98,0.29
Lauderdale by the Sea,Friedt Park,NA,0,0,110.41,0.43
Lauderhill,17th Street Park,0.09,0,0,134.77,0.14
Lauderhill,Boulevard Woods Park,0.2,0,0,150.98,0.14
Lauderhill,Herbert Sadkin Community Center,0.25,0,0,113.41,0.43
Lauderhill,Ilene Lieberman Botanical Gardens,1.13,0,0,172.26,0.57
Lauderhill,Jackie Gleason Park,1.36,0,0,161.22,0.57
Lauderhill,James D. Bradley Jr. Park,1.66,0,0,140.95,0.14
Lauderhill,Lauderhill 6-12 School Field,6.4,0,0,134.26,0.14
Lauderhill,Lauderhill Sports Park,5.88,0,0,126.63,0.86
Lauderhill,Maye Frances Brooks Jenkins Park,0.52,0,0,131.03,0.29
Lauderhill,Renaissance Park,6.03,0,0,146.44,0.29
Lauderhill,Ruth Rothkopf Park,2.77,0,0,143.15,0.43
Lauderhill,South Gateway Park,1.96,0,0,126.76,0.43
Lauderhill,St. George Community Park,3.57,0,0,141.56,0.71
Lauderhill,Veterans Park,3.74,0,0,162.53,0.57
Lauderhill,Walter Wally Elfers Park & Lauderhill Historical Museum,0.54,0,0,131.14,0.29
Lauderhill,Waterford Park,1.25,0,0,145.74,0.29
Lauderhill,West Ken Lark Park,4.11,0,0,158.6,0.71
Lauderhill,Windermere Community Center,0.26,0,0,124.38,0.29
Lauderhill,Wolk Park,1.91,0,0,125.5,0.71
Lighthouse Point,Dan Witt Park,1.8,0,0,114.74,0.43
Lighthouse Point,Frank McDonough Park,2.79,0,0,135.26,0.57
Margate,Andrews Field,NA,0,0,166.85,0.29
Margate,Centennial Park,1.69,0,0,169.49,0.43
Margate,Coral Gate Park,1.35,0,0,144.95,0.43
Margate,David Park,0.43,0,0,126.73,0.29
Margate,Firefighters Park,4.66,0,0,141.2,0.71
Margate,Kaye Stevens Park,0.86,0,0,153.06,0.43
Margate,Legacy Park,0.06,0,0,143.55,0.14
Margate,Lemon Tree Lake Park,0.09,0,0,120.22,0.43
Margate,Margate Sports Complex,4.58,0,0,139.19,0.71
Margate,Oriole Park,4.6,0,0,140.31,0.29
Margate,Rock Island Fitness Park,0.17,0,0,126.89,0.14
Margate,Royal Palm Park,0.28,0,0,145.05,0.43
Margate,Serino Park,0.69,0,0,139.42,0.43
Margate,Southeast Park,4.34,0,0,186.22,0.43
Margate,Southgate Park,0.54,0,0,148.89,0.29
Margate,Veterans Memorial Park,0.38,0,0,142.3,0.14
Margate,Vinson Park,2.21,0,0,160.91,0.43
Margate,Winfield Park,0.42,0,0,132.31,0.29
Miramar,19th Street Park,0.17,0,0,115.42,0.43
Miramar,Beauty Park,0.14,0,0,141.57,0
Miramar,Beekman Park,0.81,0,0,153.36,0.43
Miramar,Bernard Park,0.59,0,0,153.13,0.29
Miramar,Civic Center Park,0.41,0,0,140.78,0.29
Miramar,Country Club Ranches,0.86,0,0,143.67,0.43
Miramar,Forcina Field,1.05,0,0,149.82,0.14
Miramar,Harbour Lakes,1.12,0,0,127.13,0.14
Miramar,Historic Miramar Aquatic Complex,0.72,0,0,140.7,0.14
Miramar,Lakeshore Park,3.93,0,0,131.73,0.43
Miramar,Miramar Athletic Park,2.03,0,0,159.59,0.14
Miramar,Monarch Lakes Park,3.56,0,0,140.97,0.29
Miramar,Perry Park-Wellman Field,2.62,0,0,165.5,0.29
Miramar,Progress Park,0.22,0,0,160.32,0
Miramar,River Run Park,2.24,0,0,201.53,0.86
Miramar,Sawyer Park,0.17,0,0,134.09,0.29
Miramar,Sheraton Park,0.74,0,0,166.32,0.29
Miramar,Shirley Branca Park,2.46,0,0,142.22,0.29
Miramar,Silver Shores Park,3.41,0,0,153.26,0.43
North Lauderdale,Bicentennial Park,0.53,0,0,143.81,0.29
North Lauderdale,Braeburn Park,0.92,0,0,147.02,0.14
North Lauderdale,Broadview Community Park,0.6,0,0,143.96,0.29
North Lauderdale,Carl Fusco Park,1.67,0,0,125.44,0.14
North Lauderdale,Champions Hall Park,0.17,0,0,133.21,0
North Lauderdale,Highland Park,1.62,0,0,168.37,0.29
North Lauderdale,Jaycee Park,0.48,0,0,156.81,0.29
North Lauderdale,Landings Park,1.02,0,0,151,0.29
North Lauderdale,North Lauderdale Field,2.1,0,0,150.3,0.14
North Lauderdale,North Lauderdale Sports Complex,2.93,0,0,143.86,0.14
North Lauderdale,Pompano Park,1.76,0,0,162.57,0.29
North Lauderdale,Silver Lakes Park,2.88,0,0,136.66,0.14
North Lauderdale,TOT Park,0.34,0,0,151.93,0.29
North Lauderdale,Veterans Memorial,0.36,0,0,127.29,0
North Lauderdale,Woodville Park,1.29,0,0,141.77,0.14
Oakland Park,Bark Park,0.96,0,0,113,0.14
Oakland Park,Cherry Creek Park,1.32,0,0,136.7,0.29
Oakland Park,Dr. Carter G. Woodson Park,0.56,0,0,117.27,0.57
Oakland Park,Greenleaf Park,0.9,0,0,130.97,0.43
Oakland Park,Lloyd Estates Park,0.22,0,0,142.83,0.29
Oakland Park,North Andrews Gardens Neighborhood Park,NA,0,0,113.9,0.29
Oakland Park,North Andrews Gardens Volunteer Park,NA,0,0,112.66,0.14
Oakland Park,Richard E. Giusti Heart Park,NA,0,0,114.86,0.29
Parkland,John H. Quigley Park - Parkland Tennis Center,3.25,0,0,142.57,0.14
Pembroke Park,Patrick Behan Park,NA,0,0,119.63,0.29
Pembroke Park,Raymond P. Olgesby Preserve-Pembroke Park Preserve,NA,0,0,165.06,0.71
Pembroke Pines,108th Avenue Park,0.39,0,0,164.87,0.14
Pembroke Pines,111th Avenue Park,0.35,0,0,145.99,0.14
Pembroke Pines,Alhambra Park,0.35,0,0,155.84,0.29
Pembroke Pines,Ashley Hale Park,1.23,0,0,170.57,0.29
Pembroke Pines,Cinnamon Place,3,0,0,167.37,0.71
Pembroke Pines,Fletcher Park,3.34,0,0,129.45,0.29
Pembroke Pines,Jack McCluskey Rainbow Park,3.37,0,0,147.15,0.43
Pembroke Pines,Memorial Park,1.84,0,0,123.92,0.14
Pembroke Pines,Pasadena Park,1.82,0,0,139.46,0.43
Pembroke Pines,Paul J. Maxwell Park,3.5,0,0,157.08,0.43
Pembroke Pines,Pembroke Shores Park,10.96,0,0,148.45,0.43
Pembroke Pines,Pines Recreation Center,4.08,0,0,157.91,0.43
Pembroke Pines,Raintree Park,0.85,0,0,149.24,0.14
Pembroke Pines,Silver Lakes Park South,4.16,0,0,143.83,0.43
Pembroke Pines,Steven L. Josias Dog and Equestrian Park,5.55,0,0,149.21,0.29
Pembroke Pines,Towngate Park,4.02,0,0,154.43,0.43
Pembroke Pines,Walden Lakes Park,1.66,0,0,167.63,0.43
Pembroke Pines,Walnut Creek Park,3.38,0,0,148.39,0.43
Plantation,Coco Plum Park,0.49,0,0,203.83,0.14
Plantation,Country Club Park,1.55,0,0,163.76,0.57
Plantation,Fumpston Park,0.63,0,0,153.93,0.14
Plantation,Jack Carter Harmony Park,3.93,0,0,166.57,0.29
Plantation,Jim Ward Park,3.85,0,0,169.38,0.57
Plantation,Marcano Estates Park,0.98,0,0,188.13,0.14
Plantation,Melaleuca Park,0.1,0,0,157.63,0.14
Plantation,Mini Park North,0.13,0,0,152.6,0
Plantation,Mini Park South,0.24,0,0,128.25,0
Plantation,Mirror Lake Park,2.33,0,0,191.29,0.29
Plantation,Multicultural Park,0.3,0,0,154.49,0.14
Plantation,PAL Park-Roy Salmon Stadium,3.79,0,0,166.42,0.14
Plantation,Park East Park,1.78,0,0,182.67,0.71
Plantation,Park East Trailhead,0.33,0,0,130.39,0.29
Plantation,Pine Island Park,7.67,0,0,171.4,0.29
Plantation,Plantation Acres,2.56,0,0,201.96,0
Plantation,Plantation Business Park,0.6,0,0,125.88,0.14
Plantation,Plantation Point Park,0.2,0,0,171.31,0.29
Plantation,Pop Travers Park,3.72,0,0,171.58,0.29
Plantation,South Bel Air Park,0.69,0,0,187.36,0
Plantation,Thrower Park,0.13,0,0,214.27,0.14
Pompano Beach,Annie Adderly Gillis Park,0.37,0,0,130.66,0.14
Pompano Beach,Apollo Park,4.85,0,0,146.35,0.57
Pompano Beach,Avondale Park,1.17,0,0,140.9,0.57
Pompano Beach,Centennial Park,1.73,0,0,130.33,0
Pompano Beach,Coleman Park,0.31,0,0,133.09,0.14
Pompano Beach,Cresthaven Park,0.61,0,0,129.66,0.57
Pompano Beach,Fairview Park,NA,0,0,118.22,0.43
Pompano Beach,Founders Park,0.65,0,0,123.9,0.29
Pompano Beach,Highlands Park,1.65,0,0,141.21,0.43
Pompano Beach,Hunters Manor Park,3.42,0,0,155.25,0.71
Pompano Beach,Indian Mound Park,0.47,0,0,115.22,0
Pompano Beach,Jackson Park,0.13,0,0,138.88,0
Pompano Beach,Kestler Field,3.84,0,0,159.44,0.57
Pompano Beach,Lake Santa Barbara Park,0.14,0,0,115.3,0
Pompano Beach,Lovely Park,0.09,0,0,129.19,0.14
Pompano Beach,Marine Drive Park,0.08,0,0,114.02,0
Pompano Beach,McNair Park & Recreation Center,2.42,0,0,157.09,0.57
Pompano Beach,Mitchell Moore Park-Westside Park,9.7,0,0,140.82,0.43
Pompano Beach,North Pompano Park,7.12,0,0,146.1,0.57
Pompano Beach,North Riverside Park,0.13,0,0,131.28,0
Pompano Beach,Novelty Park,0.54,0,0,135.14,0.29
Pompano Beach,S.E. 13 Street Park,0.1,0,0,109.34,0
Pompano Beach,S.E. 15 Street Park,0.03,0,0,121.82,0
Pompano Beach,Sand and Spurs Equestrian Park,3.44,0,0,142.75,0.14
Pompano Beach,Scott Winters Memorial Park,0.4,0,0,114.96,0
Pompano Beach,Sgt. Chris Reyka Memorial Park,0.16,0,0,113.68,0
Southwest Ranches,Calusa Corners Park,5.11,0,0,171.78,0.14
Southwest Ranches,Trailside Park,1.76,0,0,154.38,0.57
Sunrise,City Park,2.44,0,0,146.15,0.71
Sunrise,Lakeside Park,0.7,0,0,149.37,0.29
Sunrise,Shotgun Road Linear Park,4.8,0,0,150.53,0.43
Sunrise,Sunrise Golf Village Park,0.21,0,0,130.92,0
Sunrise,Sunrise Tennis Club,2.91,0,0,134.25,0.29
Sunrise,Village Square Park,0.17,0,0,124.23,0
Tamarac,Caporella Aquatic Center,1.47,0,0,113.46,0.43
Tamarac,Caporella Park,2.43,0,0,142.6,0.43
Tamarac,Mainlands Park,4.35,0,0,161.47,0.57
Tamarac,Sunset Point Park,3.86,0,0,187.88,0.57
Tamarac,Swim Central Annex Park,1.57,0,0,116.08,0.57
Tamarac,Tamarac Recreation Center,4.31,0,0,130.77,0.57
Tamarac,Tamarac Sports Complex,14.67,0,0,150.71,0.57
West Park,Mary Saunders Park,1.32,0,0,163.47,0.57
West Park,McTyre Park,8.07,0,0,143.94,0.71
West Park,Water Tower Park,0.62,0,0,141.14,0.29
Weston,Bonaventure Park,6.32,0,0,140.84,0.43
Weston,Country Isles Park,1.85,0,0,211.1,0.57
Weston,Eagle Point Park,1.97,0,0,167.43,0.71
Weston,Heron Park,2.14,0,0,186.06,0.29
Weston,Library Park,2.66,0,0,132,0.43
Weston,Windmill Ranch Park,1.81,0,0,173.68,0.43
Wilton Manors,Donn Eisele Park,0.31,0,0,126.03,0.29
Wilton Manors,Island City Park Preserve,1.13,0,0,114.37,0.57
Wilton Manors,M.E. DePalma Park,0.09,0,0,131.39,0.14
Wilton Manors,Mickel Park,2.12,0,0,133.37,0.43
